2018-06-27 20:31:59.292 - INFO	| LWJGL version: 3.1.6 build 14!
2018-06-27 20:32:00.339 - INFO	| 	Adding UI binding:UIEventBus::test to element "LED_*"
2018-06-27 20:32:00.339 - INFO	| 	Adding UI binding:UIEventBus::updateFPSCounter to element "fps"
2018-06-27 20:32:00.339 - INFO	| 	Adding UI binding:UIEventBus::play to element "control_panel$play_button"
2018-06-27 20:32:00.339 - INFO	| 	Adding UI binding:UIEventBus::export to element "control_panel$export_button"
2018-06-27 20:32:00.339 - INFO	| 	Adding UI binding:UIEventBus::frameMinus to element "slider_container$frame_minus"
2018-06-27 20:32:00.339 - INFO	| 	Adding UI binding:UIEventBus::frameChange to element "slider_container$frame_slider"
2018-06-27 20:32:00.339 - INFO	| 	Adding UI binding:UIEventBus::framePlus to element "slider_container$frame_plus"
2018-06-27 20:32:00.351 - INFO	| Loading texture:	de_kast
2018-06-27 20:32:00.392 - INFO	| Loading atlas definition:	Data/textures/de_kast.json
2018-06-27 20:32:00.395 - INFO	| Loading texture:	Seagull_UI
2018-06-27 20:32:00.396 - INFO	| Loading atlas definition:	Data/textures/Seagull_UI.json
2018-06-27 20:32:00.401 - INFO	| play_button	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.564 - INFO	| export_button	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.596 - INFO	| frame_slider	Adding UI binding:UIEventBus::onSliderMouseUp to element "slider_button"
2018-06-27 20:32:00.596 - INFO	| frame_slider	Adding UI binding:UIEventBus::onSliderMouseDown to element "slider_button"
2018-06-27 20:32:00.596 - INFO	| slider_button	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.611 - INFO	| slider_button	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.611 - INFO	| frame_minus	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.611 - INFO	| frame_plus	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.674 - INFO	| LED_shootAgain_#FF0000	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.674 - INFO	| LED_holdX_#FF0000	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.674 - INFO	| LED_holdJets_#FF0000	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.674 - INFO	| LED_scanC_#FFFF00	Adding UI binding:UIEventBus::updateLabel to element "label"
